codigo,nombre_es,nombre_en,descripcion_en,simbolo,factor_conversion,nivel_categoria,categoria_es,estado
OA,,panel,"A unit of count defining the number of panels (panel: a distinct, usually rectangular, section of a surface).",,,3.9,Informativa - varias,Vigente
ODE,,ozone depletion equivalent,"A unit of mass defining the ozone depletion potential in kilograms of a product relative to the calculated depletion for the reference substance, Trichlorofluoromethane (CFC-11).",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
ODG,,ODS Grams,"A unit of measure calculated by multiplying the mass of the substance in grams and the ozone-depleting potential for the substance.,",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
ODK,,ODS Kilograms,A unit of measure calculated by multiplying the mass of the substance in kilograms and the ozone-depleting potential for the substance.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
ODM,,ODS Milligrams,A unit of measure calculated by multiplying the mass of the substance in milligrams and the ozone-depleting potential for the substance.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
OHM,ohmio,ohm,,Ω,Ω,1,Normativa (SI),Vigente
ON,,ounce per square yard,,oz/yd²,"3,390 575 x 10⁻² kg/m²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
ONZ,onza,ounce (avoirdupois),,oz,"2,834 952 x 10⁻² kg",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
OP,,two pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
OPM,,oscillations per minute,The number of oscillations per minute.,o/min,1.667 x 10-2 /s,2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
OT,,overtime hour,A unit of time defining the number of overtime hours.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
OZ,,ounce av,A unit of measure equal to 1/16 of a pound or about 28.3495 grams (av = avoirdupois). Use ounce (common code ONZ).,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Obsoleto (deprecated)
OZA,onza líquida (EE.UU.),fluid ounce (US),,fl oz (US),"2,957 353 x 10⁻⁵ m³",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
OZI,onza líquida (Reino Unido),fluid ounce (UK),,fl oz (UK),"2,841 306 x 10⁻⁵ m³",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
P0,,page - electronic,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
P1,por ciento,percent,A unit of proportion equal to 0.01.,% or pct,1 x 10⁻²,3.7,Informativa - enteros / números / razones,Vigente
P10,,coulomb per metre,Derived SI unit coulomb divided by the SI base unit metre.,C/m,m⁻¹ x s x A,1.0,1.0,Vigente
P11,,kiloweber,1000 fold of the derived SI unit weber.,kWb,10³ Wb,1M,Normativa - múltiplos de uso común,Vigente
P12,,gamma,Unit of magnetic flow density.,γ,10⁻⁹ T,2.0,2.0,Vigente
P13,,kilotesla,1000-fold of the derived SI unit tesla.,kT,10³ T,1M,Normativa - múltiplos de uso común,Vigente
P14,,joule per second,Quotient of the derived SI unit joule divided by the SI base unit second.,J/s,W,1.0,1.0,Vigente
P15,,joule per minute,Quotient from the derived SI unit joule divided by the unit minute.,J/min,"1,666 67 × 10⁻² W",1M,Normativa - múltiplos de uso común,Vigente
P16,,joule per hour,Quotient from the derived SI unit joule divided by the unit hour.,J/h,"2,777 78 × 10⁻⁴ W",1M,Normativa - múltiplos de uso común,Vigente
P17,,joule per day,Quotient from the derived SI unit joule divided by the unit day.,J/d,"1,157 41 × 10⁻⁵ W",1M,Normativa - múltiplos de uso común,Vigente
P18,,kilojoule per second,Quotient from the 1000-fold of the derived SI unit joule divided by the SI base unit second.,kJ/s,10³ W,1M,Normativa - múltiplos de uso común,Vigente
P19,,kilojoule per minute,Quotient from the 1000-fold of the derived SI unit joule divided by the unit minute.,kJ/min,"1,666 67 × 10 W",1M,Normativa - múltiplos de uso común,Vigente
P2,,pound per foot,,lb/ft,"1,488 164 kg/m",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
P20,,kilojoule per hour,Quotient from the 1000-fold of the derived SI unit joule divided by the unit hour.,kJ/h,"2,777 78 x 10⁻¹ W",1M,Normativa - múltiplos de uso común,Vigente
P21,,kilojoule per day,Quotient from the 1000-fold of the derived SI unit joule divided by the unit day.,kJ/d,"1,157 41 x 10⁻² W",1M,Normativa - múltiplos de uso común,Vigente
P22,,nanoohm,"0,000 000 001-fold of the derived SI unit ohm.",nΩ,10⁻⁹ Ω,1M,Normativa - múltiplos de uso común,Vigente
P23,,ohm circular-mil per foot,Unit of resistivity.,Ω·cmil/ft ,"1,662 426 x 10⁻⁹ Ω x m",2.0,2.0,Vigente
P24,,kilohenry,1000-fold of the derived SI unit henry.,kH,10³ H,1M,Normativa - múltiplos de uso común,Vigente
P25,,lumen per square foot,Derived SI unit lumen divided by the power of the unit foot according to the Anglo-American and Imperial system of units by exponent 2.,lm/ft²,"1,076 391 x 10¹ cd x sr / m²",2.0,2.0,Vigente
P26,,phot,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as lumen by square centimetre.",ph,10⁴ cd x sr / m²,2.0,2.0,Vigente
P27,,footcandle,"Non SI conform traditional unit, defined as density of light which impinges on a surface which has a distance of one foot from a light source, which shines with an intensity of an international candle.",ftc,"1,076 391 x 10¹ cd x sr / m²",2.0,2.0,Vigente
P28,,candela per square inch,SI base unit candela divided by the power of unit inch according to the Anglo-American and Imperial system of units by exponent 2.,cd/in²,"1,550 003 x 10³ cd/m²",2.0,2.0,Vigente
P29,,footlambert,"Unit of the luminance according to the Anglo-American system of units, defined as emitted or reflected luminance of a lm/ft².",ftL,"3,426 259 cd/m²",2.0,2.0,Vigente
P3,,three pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
P30,,lambert,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as the emitted or reflected luminance by one lumen per square centimetre.",Lb,"3,183 099 x 10³ cd/m²",2.0,2.0,Vigente
P31,,stilb,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as emitted or reflected luminance by one lumen per square centimetre.",sb,10⁴ cd/m²,2.0,2.0,Vigente
P32,,candela per square foot,Base unit SI candela divided by the power of the unit foot according to the Anglo-American and Imperial system of units by exponent 2.,cd/ft²,"1,076 391 x 10 cd/m²",2.0,2.0,Vigente
P33,,kilocandela,1000-fold of the SI base unit candela.,kcd,10³ cd,1M,Normativa - múltiplos de uso común,Vigente
P34,,millicandela,"0,001-fold of the SI base unit candela.",mcd,10⁻³ cd,1M,Normativa - múltiplos de uso común,Vigente
P35,,Hefner-Kerze,"Obsolete, non-legal unit of the power in Germany relating to DIN 1301-3:1979: 1 HK = 0,903 cd.",HK,"0,903 cd",2.0,2.0,Vigente
P36,,international candle,"Obsolete, non-legal unit of the power in Germany relating to DIN 1301-3:1979: 1 HK = 1,019 cd.",IK,"1,019 cd",2.0,2.0,Vigente
P37,,British thermal unit (international table) per square foot,Unit of the areal-related energy transmission according to the Imperial system of units.,BtuIT/ft²,"1,135 653 x 10⁴ J/m²",2.0,2.0,Vigente
P38,,British thermal unit (thermochemical) per square foot,Unit of the areal-related energy transmission according to the Imperial system of units.,Btuth/ft²,"1,134 893 x 10⁴ J/m²",2.0,2.0,Vigente
P39,,calorie (thermochemical) per square centimetre,Unit of the areal-related energy transmission according to the Imperial system of units.,calth/cm²,"4,184 x 10⁴ J/m²",2.0,2.0,Vigente
P4,,four pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
P40,,langley,CGS (Centimetre-Gram-Second system) unit of the areal-related energy transmission (as a measure of the incident quantity of heat of solar radiation on the earth's surface).,Ly,"4,184 x 10⁴ J/m²",2.0,2.0,Vigente
P41,,decade (logarithmic),"1 Dec := log2 10 ˜ 3,32 according to the logarithm for frequency range between f1 and f2, when f2/f1 = 10.",dec,dec,2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
P42,,pascal squared second,Unit of the set as a product of the power of derived SI unit pascal with exponent 2 and the SI base unit second.,Pa²·s,m⁻² x kg² x s⁻³,1.0,1.0,Vigente
P43,,bel per metre,Unit bel divided by the SI base unit metre.,B/m,B/m,1M,Normativa - múltiplos de uso común,Vigente
P44,,pound mole,Non SI-conforming unit of quantity of a substance relating that one pound mole of a chemical composition corresponds to the same number of pounds as the molecular weight of one molecule of this composition in atomic mass units.,lbmol,"453,592 4 mol",2.0,2.0,Vigente
P45,,pound mole per second,Non SI-conforming unit of the power of the amount of substance non-SI compliant unit of the molar flux relating that a pound mole of a chemical composition the same number of pound corresponds like the molecular weight of a molecule of this composition in atomic mass units.,lbmol/s,"4,535 924 x 10² mol/s",2.0,2.0,Vigente
P46,,pound mole per minute,Non SI-conforming unit of the power of the amount of substance non-SI compliant unit of the molar flux relating that a pound mole of a chemical composition the same number of pound corresponds like the molecular weight of a molecule of this composition in atomic mass units.,lbmol/h,"7,559 873 mol/s",2.0,2.0,Vigente
P47,,kilomole per kilogram,1000-fold of the SI base unit mol divided by the SI base unit kilogram.,kmol/kg,10³ mol/kg,1M,Normativa - múltiplos de uso común,Vigente
P48,,pound mole per pound,Non SI-conforming unit of the material molar flux divided by the avoirdupois pound for mass according to the avoirdupois unit system.,lbmol/lb,10³ mol/kg,2.0,2.0,Vigente
P49,,newton square metre per ampere,Product of the derived SI unit newton and the power of SI base unit metre with exponent 2 divided by the SI base unit ampere.,N·m²/A,m³ x kg x s⁻²  x A⁻¹,1S,Normativa - múltiplos estándar,Vigente
P5,,five pack,A unit of count defining the number of five-packs (five-pack: set of five items packaged together).,,,3.2,Informativa - unidades de venta,Vigente
P50,,weber metre,Product of the derived SI unit weber and SI base unit metre.,Wb·m,m³ x kg x s⁻²  x A⁻¹,1S,Normativa - múltiplos estándar,Vigente
P51,,mol per kilogram pascal,SI base unit mol divided by the product of the SI base unit kilogram and the derived SI unit pascal.,(mol/kg)/Pa,m x kg⁻² x s² x mol,1S,Normativa - múltiplos estándar,Vigente
