codigo,nombre_es,nombre_en,descripcion_en,simbolo,factor_conversion,nivel_categoria,categoria_es,estado
05,,lift,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
06,,small spray,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
08,,heat lot,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
10,,group,A unit of count defining the number of groups (group: set of items classified together).,,,3.9,Informativa - varias,Vigente
11,,outfit,A unit of count defining the number of outfits (outfit: a complete set of equipment / materials / objects used for a specific purpose).,,,3.9,Informativa - varias,Vigente
13,,ration,A unit of count defining the number of rations (ration: a single portion of provisions).,,,3.9,Informativa - varias,Vigente
14,,shot,"A unit of liquid measure, especially related to spirits.",,,3.9,Informativa - varias,Vigente
15,,"stick, military",A unit of count defining the number of military sticks (military stick: bombs or paratroops released in rapid succession from an aircraft).,,,3.9,Informativa - varias,Vigente
16,,hundred fifteen kg drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
17,,hundred lb drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
18,,fiftyfive gallon (US) drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
19,,tank truck,,,,3.4,Informativa - unidades de envío y transporte,Eliminado de la Rec. 20
1A,,car mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1B,,car count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1C,,locomotive count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1D,,caboose count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1E,,empty car,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1F,,train mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1G,,fuel usage gallon (US),,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1H,,caboose mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1I,,fixed rate,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service.,,,3.9,Informativa - varias,Vigente
1J,,ton mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1K,,locomotive mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1L,,total car count,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1M,,total car mile,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
1X,,quarter mile,,,,3.8,Informativa - múltiplos / fracciones / decimales,Eliminado de la Rec. 20
20,,twenty foot container,A unit of count defining the number of shipping containers that measure 20 foot in length.,,,3.4,Informativa - unidades de envío y transporte,Vigente
21,,forty foot container,A unit of count defining the number of shipping containers that measure 40 foot in length.,,,3.4,Informativa - unidades de envío y transporte,Vigente
22,,decilitre per gram,,dl/g,10⁻¹ x m³/kg,1M,Normativa - múltiplos de uso común,Vigente
23,,gram per cubic centimetre,,g/cm³,10³ kg/m³,1S,Normativa - múltiplos estándar,Vigente
24,,theoretical pound,A unit of mass defining the expected mass of material expressed as the number of pounds.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
25,,gram per square centimetre,,g/cm²,10 kg/m²,1M,Normativa - múltiplos de uso común,Vigente
26,,actual ton,,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
27,,theoretical ton,"A unit of mass defining the expected mass of material, expressed as the number of tons.",,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
28,,kilogram per square metre,,kg/m²,kg/m²,1,Normativa (SI),Vigente
29,,pound per thousand square foot,,lb/kft²,,3.8,Informativa - múltiplos / fracciones / decimales,Eliminado de la Rec. 20
2A,,radian per second,Refer ISO/TC12 SI Guide,rad/s,rad/s,1,Normativa (SI),Vigente
2B,,radian per second squared,Refer ISO/TC12 SI Guide,rad/s²,rad/s²,1,Normativa (SI),Vigente
2C,,roentgen,,R,"2,58 x 10⁻⁴ C/kg",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
2G,,volt AC,A unit of electric potential in relation to alternating current (AC).,V,V,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
2H,,volt DC,A unit of electric potential in relation to direct current (DC).,V,V,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
2I,,British thermal unit (international table) per hour,,BtuIT/h,"2,930 711x 10⁻¹ W",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
2J,,cubic centimetre per second,,cm³/s,10⁻⁶ m³/s,1S,Normativa - múltiplos estándar,Vigente
2K,,cubic foot per hour,,ft³/h,"7,865 79 x 10⁻⁶ m³/s",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
2L,,cubic foot per minute,,ft³/min,"4,719 474 x 10⁻⁴ m³/s",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
2M,,centimetre per second,,cm/s,10⁻² m/s,1S,Normativa - múltiplos estándar,Vigente
2N,,decibel,,dB,"0,115 129 3 Np",1,Normativa (SI),Vigente
2P,kilobyte,kilobyte,A unit of information equal to 10³ (1000) bytes.,kbyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
2Q,,kilobecquerel,,kBq,10³ Bq,1S,Normativa - múltiplos estándar,Vigente
2R,,kilocurie,,kCi,"3,7 x 10¹³ Bq",2S,Equivalente normativa - múltiplos,Vigente
2U,,megagram,,Mg,10³ kg,1S,Normativa - múltiplos estándar,Vigente
2V,,megagram per hour,,Mg/h,,3.8,Informativa - múltiplos / fracciones / decimales,Eliminado de la Rec. 20
2W,,bin,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
2X,,metre per minute,,m/min,"0,016 666 m/s",1M,Normativa - múltiplos de uso común,Vigente
2Y,,milliroentgen,,mR,"2,58 x 10⁻⁷ C/kg",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
2Z,,millivolt,,mV,10⁻³ V,1S,Normativa - múltiplos estándar,Vigente
30,,horse power day per air dry metric ton,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
31,,catch weight,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
32,,kilogram per air dry metric ton,,,,3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
33,,kilopascal square metre per gram,,kPa·m²/g,10⁶ m/s²,1M,Normativa - múltiplos de uso común,Vigente
34,,kilopascal per millimetre,,kPa/mm,10⁶ kg/(m² x s²),1M,Normativa - múltiplos de uso común,Vigente
35,,millilitre per square centimetre second,,ml/(cm²·s),10⁻² m/s,1M,Normativa - múltiplos de uso común,Vigente
36,,cubic foot per minute per square foot,Conversion factor required,ft³/(min/ft²),,1M,Normativa - múltiplos de uso común,Eliminado de la Rec. 20
37,,ounce per square foot,,oz/ft²,"0,305 151 7 kg/m²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
38,,"ounce per square foot per 0,01inch",,oz/(ft²/cin),,3.9,Informativa - varias,Vigente
3B,,megajoule,,MJ,10⁶ J,1S,Normativa - múltiplos estándar,Vigente
3C,,manmonth,A unit of count defining the number of months for a person or persons to perform an undertaking.,,,3.9,Informativa - varias,Vigente
3E,,pound per pound of product,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
3G,,pound per piece of product,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
3H,,kilogram per kilogram of product,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
3I,,kilogram per piece of product,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
40,,millilitre per second,,ml/s,10⁻⁶ m³/s,1M,Normativa - múltiplos de uso común,Vigente
41,,millilitre per minute,,ml/min,"1,666 67 x 10⁻⁸ m³/s",1M,Normativa - múltiplos de uso común,Vigente
43,,super bulk bag,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
44,,fivehundred kg bulk bag,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
45,,threehundred kg bulk bag,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
46,,fifty lb bulk bag,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
47,,fifty lb bag,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
48,,bulk car load,,,,3.4,Informativa - unidades de envío y transporte,Eliminado de la Rec. 20
4A,bobina,bobbin,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
4B,,cap,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
4C,,centistokes,,cSt,10⁻⁶ m²/s,2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
4E,,twenty pack,,,,3.2,Informativa - unidades de venta,Eliminado de la Rec. 20
4G,,microlitre,,µl,10⁻⁹ m³,1M,Normativa - múltiplos de uso común,Vigente
4H,micrómetro (micra),micrometre (micron),,µm,10⁻⁶ m,1S,Normativa - múltiplos estándar,Vigente
4K,,milliampere,,mA,10⁻³ A,1S,Normativa - múltiplos estándar,Vigente
4L,megabyte,megabyte,A unit of information equal to 10⁶ (1000000) bytes.,Mbyte,,3.6,Informativa - unidades de tecnología de la información,Vigente
4M,,milligram per hour,,mg/h,"2,777 78 x 10⁻¹⁰ kg/s",1M,Normativa - múltiplos de uso común,Vigente
4N,,megabecquerel,,MBq,10⁶ Bq,1S,Normativa - múltiplos estándar,Vigente
4O,,microfarad,,µF,10⁻⁶ F,1S,Normativa - múltiplos estándar,Vigente
4P,,newton per metre,,N/m,N/m,1,Normativa (SI),Vigente
4Q,,ounce inch,,oz·in,"7,200 778 x 10⁻⁴ kg x m",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
4R,,ounce foot,,oz·ft,"8,640 934 x 10⁻³ kg x m",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
4T,,picofarad,,pF,10⁻¹² F,1S,Normativa - múltiplos estándar,Vigente
4U,,pound per hour,,lb/h,"1,259 979 x 10⁻⁴ kg/s",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
4W,,ton (US) per hour,,ton (US) /h,"2,519 958 x 10⁻¹ kg/s",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
4X,,kilolitre per hour,,kl/h,"2,777 78 x 10⁻⁴ m³/s",1M,Normativa - múltiplos de uso común,Vigente
53,,theoretical kilogram,,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
54,,theoretical tonne,,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Eliminado de la Rec. 20
56,,sitas,A unit of area for tin plate equal to a surface area of 100 square metres.,,,3.9,Informativa - varias,Vigente
57,,mesh,A unit of count defining the number of strands per inch as a measure of the fineness of a woven product.,,,3.9,Informativa - varias,Vigente
58,kilogramo neto,net kilogram,A unit of mass defining the total number of kilograms after deductions.,,,3.1,Informativa - unidades base calificadas (niveles 1 y 2),Vigente
59,partes por millón (ppm),part per million,A unit of proportion equal to 10⁻⁶.,ppm,1 x 10⁻⁶,3.7,Informativa - enteros / números / razones,Vigente
5A,,barrel (US) per minute,,barrel (US)/min,"2,649 79 x 10⁻³ m³/s",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
5B,,batch,A unit of count defining the number of batches (batch: quantity of material produced in one operation or number of animals or persons coming at once).,,,3.9,Informativa - varias,Vigente
5C,,gallon(US) per thousand,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
5E,,MMSCF/day,A unit of volume equal to one million (1000000) cubic feet of gas per day.,,,3.9,Informativa - varias,Vigente
5F,,pound per thousand,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
5G,,pump,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
5H,,stage,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
5I,,standard cubic foot,Use standard (common code WSD),std,"4,672 m³",2,"Equivalente normativa (no SI: UK, US, etc.)",Eliminado de la Rec. 20
5J,,hydraulic horse power,A unit of power defining the hydraulic horse power delivered by a fluid pump depending on the viscosity of the fluid.,,,3.5,Informativa - unidades específicas de industria,Vigente
5K,,count per minute,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
5P,,seismic level,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
5Q,,seismic line,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
60,,percent weight,A unit of proportion equal to 10⁻².,,1 x 10⁻²,3.7,Informativa - enteros / números / razones,Vigente
61,"partes por mil millones (ppb, EE.UU.)",part per billion (US),A unit of proportion equal to 10⁻⁹.,ppb,1 x 10⁻⁹,3.7,Informativa - enteros / números / razones,Vigente
62,,percent per 1000 hour,,,,3.7,Informativa - enteros / números / razones,Eliminado de la Rec. 20
63,,failure rate in time,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
64,,"pound per square inch, gauge",,,"7,030 696 x 10² kg/m²",3.1,Informativa - unidades base calificadas (niveles 1 y 2),Obsoleto (deprecated)
66,,oersted,,Oe,"7,957 747 x 10 A/m",3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
69,,test specific scale,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
71,,volt ampere per pound,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
72,,watt per pound,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
73,,ampere tum per centimetre,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
74,,millipascal,,mPa,10⁻³ Pa,1S,Normativa - múltiplos estándar,Vigente
76,,gauss,,Gs,10⁻⁴ T,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
77,,milli-inch,,mil,"25,4 x 10⁻⁶ m",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
78,,kilogauss,,kGs,10⁻¹ T,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
80,,pound per square inch absolute,,lb/in²,"7,030 696 x 10² kg/m²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
81,,henry,,H,H,1,Normativa (SI),Vigente
84,,kilopound-force per square inch,"A unit of pressure defining the number of kilopounds force per square inch.,Use kip per square inch (common code N20).",klbf/in²,"6,894 757 x 10⁶ Pa",2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
85,,foot pound-force,,ft·lbf,"1,355 818 J",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
87,,pound per cubic foot,,lb/ft³,"1,601 846 x 10¹ kg/m³",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
89,,poise,,P,"0,1 Pa x s",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
90,,Saybold universal second,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
91,,stokes,,St,10⁻⁴ m²/s,2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
92,,calorie per cubic centimetre,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
93,,calorie per gram,Use International Table (IT) calorie per gram (common code D75).,cal/g,"4,186 8 x 10³ J/kg",3.5,Informativa - unidades específicas de industria,Eliminado de la Rec. 20
94,,curl unit,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
95,,twenty thousand gallon (US) tankcar,,,,3.4,Informativa - unidades de envío y transporte,Eliminado de la Rec. 20
96,,ten thousand gallon (US) tankcar,,,,3.4,Informativa - unidades de envío y transporte,Eliminado de la Rec. 20
97,,ten kg drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
98,,fifteen kg drum,,,,3.3,Informativa - unidades de embalaje,Eliminado de la Rec. 20
A1,,15 °C calorie,,cal₁₅,"4,188 46  J",2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A10,,ampere square metre per joule second,,A·m²/(J·s),(A x s)/kg,1,Normativa (SI),Vigente
A11,ángstrom,angstrom,,Å,10⁻¹⁰ m,1,Normativa (SI),Vigente
A12,,astronomical unit,,ua,"1,495 978 70 x 10¹¹ m",1,Normativa (SI),Vigente
A13,,attojoule,,aJ,10⁻¹⁸ J,1S,Normativa - múltiplos estándar,Vigente
A14,,barn,,b,10⁻²⁸ m²,1,Normativa (SI),Vigente
A15,,barn per electronvolt,,b/eV,"6,241 51 x 10⁻¹⁰ m²/J",1,Normativa (SI),Vigente
A16,,barn per steradian electronvolt,,b/(sr·eV),"6,241 51 x 10⁻¹⁰ m²/(sr xJ)",1,Normativa (SI),Vigente
A17,,barn per steradian,,b/sr,1 x 10⁻²⁸ m²/sr,1,Normativa (SI),Vigente
A18,,becquerel per kilogram,,Bq/kg,"27,027 x 10⁻¹² Ci/kg",1,Normativa (SI),Vigente
A19,,becquerel per cubic metre,,Bq/m³,Bq/m³,1,Normativa (SI),Vigente
A2,,ampere per centimetre,,A/cm,10² A/m,1S,Normativa - múltiplos estándar,Vigente
A20,,British thermal unit (international table) per second square foot degree Rankine,,BtuIT/(s·ft²·°R),"20 441,7 W/(m² x K)",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A21,,British thermal unit (international table) per pound degree Rankine,,BtuIT/(lb·°R),"4 186,8 J/(kg x K)",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A22,,British thermal unit (international table) per second foot degree Rankine,,BtuIT/(s·ft·°R),"6 230,64 W/(m x K)",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A23,,British thermal unit (international table) per hour square foot degree Rankine,,BtuIT/(h·ft²·°R),"5,678 26 W/ (m² x K)",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A24,,candela per square metre,,cd/m²,cd/m²,1,Normativa (SI),Vigente
A25,,cheval vapeur,Synonym: metric horse power,CV,"7,354 988 x 10² W",2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A26,,coulomb metre,,C·m,A x s x m,1,Normativa (SI),Vigente
A27,,coulomb metre squared per volt,,C·m²/V,A² x  s⁴/kg,1,Normativa (SI),Vigente
A28,,coulomb per cubic centimetre,,C/cm³,10⁶ C/m³,1S,Normativa - múltiplos estándar,Vigente
A29,,coulomb per cubic metre,,C/m³,C/m³,1,Normativa (SI),Vigente
A3,,ampere per millimetre,,A/mm,10³ A/m,1S,Normativa - múltiplos estándar,Vigente
A30,,coulomb per cubic millimetre,,C/mm³,10⁹ C/m³,1S,Normativa - múltiplos estándar,Vigente
A31,,coulomb per kilogram second,,C/(kg·s),A/kg,1,Normativa (SI),Vigente
A32,,coulomb per mole,,C/mol,A x s/mol,1,Normativa (SI),Vigente
A33,,coulomb per square centimetre,,C/cm²,10⁴ C/m²,1S,Normativa - múltiplos estándar,Vigente
A34,,coulomb per square metre,,C/m²,C/m²,1,Normativa (SI),Vigente
A35,,coulomb per square millimetre,,C/mm²,10⁶ C/m²,1S,Normativa - múltiplos estándar,Vigente
A36,,cubic centimetre per mole,,cm³/mol,10⁻⁶ m³/mol,1S,Normativa - múltiplos estándar,Vigente
A37,,cubic decimetre per mole,,dm³/mol,10⁻³ m³/mol,1S,Normativa - múltiplos estándar,Vigente
A38,,cubic metre per coulomb,,m³/C,m³/A x s,1,Normativa (SI),Vigente
A39,,cubic metre per kilogram,,m³/kg,m³/kg,1,Normativa (SI),Vigente
A4,,ampere per square centimetre,,A/cm²,10⁴ A/m²,1S,Normativa - múltiplos estándar,Vigente
A40,,cubic metre per mole,,m³/mol,m³/mol,1,Normativa (SI),Vigente
A41,,ampere per square metre,,A/m²,A/m²,1,Normativa (SI),Vigente
A42,,curie per kilogram,,Ci/kg,"3,7 x 10¹⁰ Bq/kg",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A43,,deadweight tonnage,"A unit of mass defining the difference between the weight of a ship when completely empty and its weight when completely loaded, expressed as the number of tons.",dwt,,3.4,Informativa - unidades de envío y transporte,Vigente
A44,,decalitre,,dal,10⁻² m³,1M,Normativa - múltiplos de uso común,Vigente
A45,,decametre,,dam,10 m,1M,Normativa - múltiplos de uso común,Vigente
A47,,decitex,A unit of yarn density. One decitex equals a mass of 1 gram per 10 kilometres of length.,dtex (g/10km),,3.5,Informativa - unidades específicas de industria,Vigente
A48,,degree Rankine,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics),°R,5/9 x K,2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A49,,denier,A unit of yarn density. One denier equals a mass of 1 gram per 9 kilometres of length.,den (g/9 km),,3.5,Informativa - unidades específicas de industria,Vigente
A5,,ampere square metre,,A·m²,A x m²,1,Normativa (SI),Vigente
A50,,dyne second per cubic centimetre,,dyn·s/cm³,10 Pa x s/m,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A51,,dyne second per centimetre,,dyn·s/cm,10⁻³ N x s/m,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A52,,dyne second per centimetre to the fifth power,,dyn·s/cm⁵,10⁵ Pa x s/m³,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A53,,electronvolt,,eV,"1,602 176 487 x 10⁻¹⁹ J",1,Normativa (SI),Vigente
A54,,electronvolt per metre,,eV/m,"1,602 176 487 x 10⁻¹⁹ J/m",1,Normativa (SI),Vigente
A55,,electronvolt square metre,,eV·m²,"1,602 176 487 x 10⁻¹⁹ J x m²",1,Normativa (SI),Vigente
A56,,electronvolt square metre per kilogram,,eV·m²/kg,"1,602 176 487 x 10⁻¹⁹ J x m²/kg",1,Normativa (SI),Vigente
A57,,erg,,erg,10⁻⁷J,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A58,,erg per centimetre,,erg/cm,10⁻⁵ J/m,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A59,,8-part cloud cover,"A unit of count defining the number of eighth-parts as a measure of the celestial dome cloud coverage.,Synonym: OKTA , OCTA",,,3.9,Informativa - varias,Vigente
A6,,ampere per square metre kelvin squared,,A/(m²·K²),A/(m² x K²),1,Normativa (SI),Vigente
A60,,erg per cubic centimetre,,erg/cm³,10⁻¹ J/m³,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A61,,erg per gram,,erg/g,10⁻⁴ J/kg,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A62,,erg per gram second,,erg/g·s,10⁻⁴ W/kg,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A63,,erg per second,,erg/s,10⁻⁷ W,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A64,,erg per second square centimetre,,erg/(s·cm²),10⁻³ W/m²,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A65,,erg per square centimetre second,,erg/(cm²·s),10⁻³ W/m²,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A66,,erg square centimetre,,erg·cm²,10⁻¹¹ J x m²,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A67,,erg square centimetre per gram,,erg·cm²/g,10⁻⁸ J x m²/kg,2,"Equivalente normativa (no SI: UK, US, etc.)",Obsoleto (deprecated)
A68,,exajoule,,EJ,10¹⁸ J,1S,Normativa - múltiplos estándar,Vigente
A69,,farad per metre,,F/m,kg⁻¹ x m⁻³ x s⁴ x A²,1,Normativa (SI),Vigente
A7,,ampere per square millimetre,,A/mm²,10⁶ A/m²,1S,Normativa - múltiplos estándar,Vigente
A70,,femtojoule,,fJ,10⁻¹⁵ J,1S,Normativa - múltiplos estándar,Vigente
A71,,femtometre,,fm,10⁻¹⁵ m,1S,Normativa - múltiplos estándar,Vigente
A73,,foot per second squared,,ft/s²,"0,304 8 m/s²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A74,,foot pound-force per second,,ft·lbf/s,"1,355 818 W",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A75,,freight ton,"A unit of information typically used for billing purposes, defined as either the number of metric tons or the number of cubic metres, whichever is the larger.",,,3.4,Informativa - unidades de envío y transporte,Vigente
A76,,gal,,Gal,10⁻² m/s²,1S,Normativa - múltiplos estándar,Vigente
A77,,Gaussian CGS (Centimetre-Gram-Second system) unit of displacement,,,,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
A78,,Gaussian CGS (Centimetre-Gram-Second system) unit of electric current,,,,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
A79,,Gaussian CGS (Centimetre-Gram-Second system) unit of electric charge,,,,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
A8,,ampere second,,A·s,C,1,Normativa (SI),Vigente
A80,,Gaussian CGS (Centimetre-Gram-Second system) unit of electric field strength,,,,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
A81,,Gaussian CGS (Centimetre-Gram-Second system) unit of electric polarization,,,,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
A82,,Gaussian CGS (Centimetre-Gram-Second system) unit of electric potential,,,,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
A83,,Gaussian CGS (Centimetre-Gram-Second system) unit of magnetization,,,,3.5,Informativa - unidades específicas de industria,Obsoleto (deprecated)
A84,,gigacoulomb per cubic metre,,GC/m³,10⁹ C/m³,1S,Normativa - múltiplos estándar,Vigente
A85,,gigaelectronvolt,,GeV,10⁹ eV,1S,Normativa - múltiplos estándar,Vigente
A86,gigahercio,gigahertz,,GHz,10⁹ Hz,1S,Normativa - múltiplos estándar,Vigente
A87,,gigaohm,,GΩ,10⁹ Ω,1S,Normativa - múltiplos estándar,Vigente
A88,,gigaohm metre,,GΩ·m,10⁹ Ω x m,1S,Normativa - múltiplos estándar,Vigente
A89,,gigapascal,,GPa,10⁹ Pa,1S,Normativa - múltiplos estándar,Vigente
A9,,rate,A unit of quantity expressed as a rate for usage of a facility or service.,,,3.9,Informativa - varias,Vigente
A90,,gigawatt,,GW,10⁹ W,1S,Normativa - múltiplos estándar,Vigente
A91,,gon,Synonym: grade,gon,"1,570 796 x 10⁻² rad",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
A93,,gram per cubic metre,,g/m³,10⁻³ kg/m³,1M,Normativa - múltiplos de uso común,Vigente
A94,,gram per mole,,g/mol,10⁻³ kg/mol,1S,Normativa - múltiplos estándar,Vigente
A95,,gray,,Gy,m²/s²,1,Normativa (SI),Vigente
A96,,gray per second,,Gy/s,m²/s³,1,Normativa (SI),Vigente
A97,,hectopascal,,hPa,10² Pa,1S,Normativa - múltiplos estándar,Vigente
A98,,henry per metre,,H/m,H/m,1,Normativa (SI),Vigente
A99,bit,bit,A unit of information equal to one binary digit.,bit,,3.6,Informativa - unidades de tecnología de la información,Vigente
AA,,ball,A unit of count defining the number of balls (ball: object formed in the shape of sphere).,,,3.9,Informativa - varias,Vigente
AB,,bulk pack,A unit of count defining the number of items per bulk pack.,pk,,3.9,Informativa - varias,Vigente
ACR,acre,acre,,acre,"4 046,873 m²",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
ACT,,activity,A unit of count defining the number of activities (activity: a unit of work or action).,,,3.2,Informativa - unidades de venta,Vigente
AD,byte,byte,A unit of information equal to 8 bits.,byte,,3.6,Informativa - unidades de tecnología de la información,Vigente
AE,,ampere per metre,,A/m,A/m,1,Normativa (SI),Vigente
AH,,additional minute,A unit of time defining the number of minutes in addition to the referenced minutes.,,,3.5,Informativa - unidades específicas de industria,Vigente
AI,,average minute per call,A unit of count defining the number of minutes for the average interval of a call.,,,3.5,Informativa - unidades específicas de industria,Vigente
AJ,,cop,,,,3.9,Informativa - varias,Eliminado de la Rec. 20
AK,,fathom,,fth,"1,828 8 m",2,"Equivalente normativa (no SI: UK, US, etc.)",Vigente
